,Title,Type,Director,Cast,Release Year,Date Added,Rating,Duration,Genre,Vote Average
14,Prep & Landing,Movie,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Sarah Chalke, Mason Cotton, Lino DiSalvo, Derek Richardson, William Sheppard",2009,"November 6, 2020",TV-G,23 min, Fantasy,9.2
15,Disney Holiday Magic Quest,Movie,Unknown,Unknown,2020,"December 11, 2020",TV-G,46 min,Movies,9.0
16,The Liberty Story,Movie,"Hamilton Luske, Robert Stevenson",Walt Disney,1957,"June 12, 2020",TV-PG,48 min,Drama,9.0
17,The Liberty Story,Movie,"Hamilton Luske, Robert Stevenson",Walt Disney,1957,"June 12, 2020",TV-PG,48 min, Family,9.0
18,The Liberty Story,Movie,"Hamilton Luske, Robert Stevenson",Walt Disney,1957,"June 12, 2020",TV-PG,48 min, Historical,9.0
19,The Most Magical Story on Earth: 50 Years of Walt Disney World,Movie,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",2021,"October 8, 2021",TV-PG,85 min,Family,9.0
20,The Most Magical Story on Earth: 50 Years of Walt Disney World,Movie,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",2021,"October 8, 2021",TV-PG,85 min, Variety,9.0
21,High School Musical: The Musical: The Series: The Special,Movie,Clayton Cogswell,"Joshua Bassett, Olivia Rodrigo, Sofia Wylie, Matt Cornett, Dara Renee",2019,"December 20, 2019",TV-G,23 min,Coming of Age,8.714
22,High School Musical: The Musical: The Series: The Special,Movie,Clayton Cogswell,"Joshua Bassett, Olivia Rodrigo, Sofia Wylie, Matt Cornett, Dara Renee",2019,"December 20, 2019",TV-G,23 min, Documentary,8.714
23,High School Musical: The Musical: The Series: The Special,Movie,Clayton Cogswell,"Joshua Bassett, Olivia Rodrigo, Sofia Wylie, Matt Cornett, Dara Renee",2019,"December 20, 2019",TV-G,23 min, Drama,8.714
24,The Last Ice,Movie,Scott Ressler,Unknown,2020,"April 2, 2021",TV-14,82 min,Animals & Nature,8.625
25,The Last Ice,Movie,Scott Ressler,Unknown,2020,"April 2, 2021",TV-14,82 min, Documentary,8.625
26,Folklore: the long pond studio sessions,Movie,Unknown,"Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon",2020,"November 25, 2020",TV-14,107 min,Documentary,8.6
27,Folklore: the long pond studio sessions,Movie,Unknown,"Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon",2020,"November 25, 2020",TV-14,107 min, Music,8.6
28,Disney Channel Halloween House Party,Movie,Trevor Moore,"Tobie Windham, Raphael Alejandro, Suzi Barrett, Isaac Ryan Brown, Kylie Cantrall, Scarlett Estevez",2020,"October 30, 2020",TV-G,23 min,Comedy,8.5
29,Disney Channel Halloween House Party,Movie,Trevor Moore,"Tobie Windham, Raphael Alejandro, Suzi Barrett, Isaac Ryan Brown, Kylie Cantrall, Scarlett Estevez",2020,"October 30, 2020",TV-G,23 min, Variety,8.5
30,Wild Uganda,Movie,Harald Pokieser,Russell Boulter,2018,"January 22, 2021",TV-PG,45 min,Animals & Nature,8.5
31,Wild Uganda,Movie,Harald Pokieser,Russell Boulter,2018,"January 22, 2021",TV-PG,45 min, Documentary,8.5
32,Disney Under The Sea: A Descendants Short Story,Movie,Hasraf Dulull,Unknown,2018,"November 12, 2019",TV-G,10 min,Fantasy,8.4
33,Disney Under The Sea: A Descendants Short Story,Movie,Hasraf Dulull,Unknown,2018,"November 12, 2019",TV-G,10 min, Musical,8.4
34,Disney Under The Sea: A Descendants Short Story,Movie,Hasraf Dulull,Unknown,2018,"November 12, 2019",TV-G,10 min, Thriller,8.4
35,Disney's Fairy Tale Weddings: Holiday Magic,Movie,Chris Wilson,"Stephen Boss, Allison Holker",2017,"November 12, 2019",TV-PG,42 min,Family,8.4
36,Disney's Fairy Tale Weddings: Holiday Magic,Movie,Chris Wilson,"Stephen Boss, Allison Holker",2017,"November 12, 2019",TV-PG,42 min, Lifestyle,8.4
37,Disney's Fairy Tale Weddings: Holiday Magic,Movie,Chris Wilson,"Stephen Boss, Allison Holker",2017,"November 12, 2019",TV-PG,42 min, Reality,8.4
38,Disney's Fairy Tale Weddings,Movie,Chris Wilson,"Ben Higgins, Lauren Bushnell",2017,"November 12, 2019",TV-PG,64 min,Family,8.4
39,Disney's Fairy Tale Weddings,Movie,Chris Wilson,"Ben Higgins, Lauren Bushnell",2017,"November 12, 2019",TV-PG,64 min, Lifestyle,8.4
40,Disney's Fairy Tale Weddings,Movie,Chris Wilson,"Ben Higgins, Lauren Bushnell",2017,"November 12, 2019",TV-PG,64 min, Reality,8.4
41,Disney Descendants,Movie,Kenny Ortega,"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson, Mitchell Hope, Melanie Paxson",2015,"November 12, 2019",TV-G,114 min,Coming of Age,8.4
42,Disney Descendants,Movie,Kenny Ortega,"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson, Mitchell Hope, Melanie Paxson",2015,"November 12, 2019",TV-G,114 min, Fantasy,8.4
43,Disney Descendants,Movie,Kenny Ortega,"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson, Mitchell Hope, Melanie Paxson",2015,"November 12, 2019",TV-G,114 min, Musical,8.4
44,Disney Girl vs. Monster,Movie,Stuart Gillard,"Olivia Holt, Kerris Dorsey, Brendan Meyer, Katherine McNamara, Adam Chambers, Tracy Dawson",2012,"November 12, 2019",TV-PG,90 min,Action-Adventure,8.4
45,Disney Girl vs. Monster,Movie,Stuart Gillard,"Olivia Holt, Kerris Dorsey, Brendan Meyer, Katherine McNamara, Adam Chambers, Tracy Dawson",2012,"November 12, 2019",TV-PG,90 min, Comedy,8.4
46,Disney Girl vs. Monster,Movie,Stuart Gillard,"Olivia Holt, Kerris Dorsey, Brendan Meyer, Katherine McNamara, Adam Chambers, Tracy Dawson",2012,"November 12, 2019",TV-PG,90 min, Fantasy,8.4
47,Star Wars: The Empire Strikes Back (Episode V),Movie,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Williams, Anthony Daniels, David Prowse",1980,"November 12, 2019",PG,127 min,Action-Adventure,8.391
48,Star Wars: The Empire Strikes Back (Episode V),Movie,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Williams, Anthony Daniels, David Prowse",1980,"November 12, 2019",PG,127 min, Science Fiction,8.391
49,Breaking2,Movie,Martin Roe,"Lelisa Desisa, Eliud Kipchoge, Zersenay Tadese",2017,"November 12, 2019",TV-PG,55 min,Documentary,8.3
50,Breaking2,Movie,Martin Roe,"Lelisa Desisa, Eliud Kipchoge, Zersenay Tadese",2017,"November 12, 2019",TV-PG,55 min, Sports,8.3
51,Cesar Millan: The Real Story,Movie,Doug Shultz,Cesar Millan,2012,"April 9, 2021",TV-PG,45 min,Biographical,8.3
52,Cesar Millan: The Real Story,Movie,Doug Shultz,Cesar Millan,2012,"April 9, 2021",TV-PG,45 min, Documentary,8.3
53,Clouds,Movie,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Scott, Lil Rel Howery",2020,"October 16, 2020",PG-13,122 min,Biographical,8.294
54,Clouds,Movie,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Scott, Lil Rel Howery",2020,"October 16, 2020",PG-13,122 min, Drama,8.294
55,Clouds,Movie,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Scott, Lil Rel Howery",2020,"October 16, 2020",PG-13,122 min, Music,8.294
56,Marvel Studios' Avengers: Endgame,Movie,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner",2019,"November 12, 2019",PG-13,183 min,Action-Adventure,8.262
57,Marvel Studios' Avengers: Endgame,Movie,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner",2019,"November 12, 2019",PG-13,183 min, Fantasy,8.262
58,Marvel Studios' Avengers: Endgame,Movie,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner",2019,"November 12, 2019",PG-13,183 min, Science Fiction,8.262
59,Marvel Studios' Avengers: Infinity War,Movie,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle",2018,"June 26, 2020",PG-13,152 min,Action-Adventure,8.253
60,Marvel Studios' Avengers: Infinity War,Movie,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle",2018,"June 26, 2020",PG-13,152 min, Fantasy,8.253
61,Marvel Studios' Avengers: Infinity War,Movie,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle",2018,"June 26, 2020",PG-13,152 min, Science Fiction,8.253
62,Coco (in Spanish),Movie,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil",2017,"November 29, 2019",PG,105 min,Animation,8.221
63,Coco (in Spanish),Movie,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil",2017,"November 29, 2019",PG,105 min, Family,8.221
64,Coco (in Spanish),Movie,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil",2017,"November 29, 2019",PG,105 min, Fantasy,8.221
65,Coco,Movie,Lee Unkrich,"Anthony Gonzalez, Gael Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil",2017,"November 29, 2019",PG,105 min,Animation,8.221
66,Coco,Movie,Lee Unkrich,"Anthony Gonzalez, Gael Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil",2017,"November 29, 2019",PG,105 min, Family,8.221
67,Coco,Movie,Lee Unkrich,"Anthony Gonzalez, Gael Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil",2017,"November 29, 2019",PG,105 min, Fantasy,8.221
68,Hamilton,Movie,Thomas Kail,"Daveed Diggs, Renée Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Jones, Lin-Manuel Miranda",2020,"July 3, 2020",PG-13,160 min,Biographical,8.215
69,Hamilton,Movie,Thomas Kail,"Daveed Diggs, Renée Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Jones, Lin-Manuel Miranda",2020,"July 3, 2020",PG-13,160 min, Historical,8.215
70,Hamilton,Movie,Thomas Kail,"Daveed Diggs, Renée Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Jones, Lin-Manuel Miranda",2020,"July 3, 2020",PG-13,160 min, Musical,8.215
71,Star Wars: A New Hope (Episode IV),Movie,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels",1977,"November 12, 2019",PG,125 min,Action-Adventure,8.204
72,Star Wars: A New Hope (Episode IV),Movie,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels",1977,"November 12, 2019",PG,125 min, Science Fiction,8.204
73,Expedition Mars: Spirit & Opportunity,Movie,Mark Davis,Bray Poor,2019,"November 12, 2019",TV-PG,88 min,Documentary,8.2
74,"Miraculous World: New York, United Heroez",Movie,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz",2020,"December 18, 2020",TV-Y7-FV,60 min,Action-Adventure,8.17
75,"Miraculous World: New York, United Heroez",Movie,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz",2020,"December 18, 2020",TV-Y7-FV,60 min, Animation,8.17
76,"Miraculous World: New York, United Heroez",Movie,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz",2020,"December 18, 2020",TV-Y7-FV,60 min, Fantasy,8.17
77,Disney Channel's Epic Holiday Showdown,Movie,Unknown,Unknown,2020,"December 11, 2020",TV-G,50 min,Fantasy,8.17
78,Disney Channel's Epic Holiday Showdown,Movie,Unknown,Unknown,2020,"December 11, 2020",TV-G,50 min, Variety,8.17
79,In the Footsteps of Elephant,Movie,Vanessa Berlowitz,Jeremy Sisto,2020,"April 3, 2020",G,88 min,Animals & Nature,8.167
80,In the Footsteps of Elephant,Movie,Vanessa Berlowitz,Jeremy Sisto,2020,"April 3, 2020",G,88 min, Documentary,8.167
81,In the Footsteps of Elephant,Movie,Vanessa Berlowitz,Jeremy Sisto,2020,"April 3, 2020",G,88 min, Family,8.167
82,Piper,Movie,Alan Barillaro,Unknown,2016,"November 12, 2019",G,6 min,Animals & Nature,8.164
83,Piper,Movie,Alan Barillaro,Unknown,2016,"November 12, 2019",G,6 min, Animation,8.164
84,Piper,Movie,Alan Barillaro,Unknown,2016,"November 12, 2019",G,6 min, Family,8.164
85,Soul,Movie,Pete Docter,"Jamie Foxx, Tina Fey, Angela Bassett, Ahmir-Khalib ""Questlove"" Thompson, Phylicia Rashad, Daveed Diggs",2020,"December 25, 2020",PG,107 min,Animation,8.148
86,Soul,Movie,Pete Docter,"Jamie Foxx, Tina Fey, Angela Bassett, Ahmir-Khalib ""Questlove"" Thompson, Phylicia Rashad, Daveed Diggs",2020,"December 25, 2020",PG,107 min, Comedy,8.148
87,Soul,Movie,Pete Docter,"Jamie Foxx, Tina Fey, Angela Bassett, Ahmir-Khalib ""Questlove"" Thompson, Phylicia Rashad, Daveed Diggs",2020,"December 25, 2020",PG,107 min, Family,8.148
88,Yellowstone Cubs,Movie,Charles Draper,Rex Allen,1963,"November 12, 2019",TV-PG,48 min,Animals & Nature,8.143
89,Yellowstone Cubs,Movie,Charles Draper,Rex Allen,1963,"November 12, 2019",TV-PG,48 min, Comedy,8.143
90,Yellowstone Cubs,Movie,Charles Draper,Rex Allen,1963,"November 12, 2019",TV-PG,48 min, Family,8.143
91,Newsies: The Broadway Musical,Movie,"Jeff Calhoun, Brett Sullivan","Jeremy Jordan, Kara Lindsay, Ben Fankhauser, Andrew Keenan-Bolger, Steve Blanchard, Aisha de Haas",2017,"November 12, 2019",PG,134 min,Coming of Age,8.103
92,Newsies: The Broadway Musical,Movie,"Jeff Calhoun, Brett Sullivan","Jeremy Jordan, Kara Lindsay, Ben Fankhauser, Andrew Keenan-Bolger, Steve Blanchard, Aisha de Haas",2017,"November 12, 2019",PG,134 min, Drama,8.103
93,Newsies: The Broadway Musical,Movie,"Jeff Calhoun, Brett Sullivan","Jeremy Jordan, Kara Lindsay, Ben Fankhauser, Andrew Keenan-Bolger, Steve Blanchard, Aisha de Haas",2017,"November 12, 2019",PG,134 min, Family,8.103
94,Trail of the Panda,Movie,Zhong Yu,"Zhong Yu, Zhang Qi, Daichi Harashima, Li Feng, Chang Liu, Ke Qi",2009,"November 12, 2019",G,89 min,Action-Adventure,8.1
95,Trail of the Panda,Movie,Zhong Yu,"Zhong Yu, Zhang Qi, Daichi Harashima, Li Feng, Chang Liu, Ke Qi",2009,"November 12, 2019",G,89 min, Animals & Nature,8.1
96,Trail of the Panda,Movie,Zhong Yu,"Zhong Yu, Zhang Qi, Daichi Harashima, Li Feng, Chang Liu, Ke Qi",2009,"November 12, 2019",G,89 min, Family,8.1
97,Diving with Dolphins,Movie,Keith Scholey,Celine Cousteau,2020,"April 3, 2020",G,79 min,Animals & Nature,8.077
98,Diving with Dolphins,Movie,Keith Scholey,Celine Cousteau,2020,"April 3, 2020",G,79 min, Documentary,8.077
99,Diving with Dolphins,Movie,Keith Scholey,Celine Cousteau,2020,"April 3, 2020",G,79 min, Family,8.077
100,Hidden Figures,Movie,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",2016,"September 25, 2020",PG,128 min,Biographical,8.058
101,Hidden Figures,Movie,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",2016,"September 25, 2020",PG,128 min, Drama,8.058
102,Hidden Figures,Movie,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",2016,"September 25, 2020",PG,128 min, Family,8.058
103,Cruella,Movie,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste",2021,"August 27, 2021",PG-13,137 min,Crime,8.05
104,Cruella,Movie,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste",2021,"August 27, 2021",PG-13,137 min, Drama,8.05
105,Marvel Studios' Guardians of the Galaxy Vol. 2,Movie,James Gunn,"Chris Pratt, Bradley Cooper, Vin Diesel, Pom Klementieff, Zoë Saldana, Dave Bautista",2017,"November 12, 2019",PG-13,137 min,Action-Adventure,8.013
106,Marvel Studios' Guardians of the Galaxy Vol. 2,Movie,James Gunn,"Chris Pratt, Bradley Cooper, Vin Diesel, Pom Klementieff, Zoë Saldana, Dave Bautista",2017,"November 12, 2019",PG-13,137 min, Comedy,8.013
107,Marvel Studios' Guardians of the Galaxy Vol. 2,Movie,James Gunn,"Chris Pratt, Bradley Cooper, Vin Diesel, Pom Klementieff, Zoë Saldana, Dave Bautista",2017,"November 12, 2019",PG-13,137 min, Science Fiction,8.013
108,Knick Knack Theatrical Short,Movie,John Lasseter,Unknown,2003,"November 12, 2019",G,4 min,Animation,8.0
109,Knick Knack Theatrical Short,Movie,John Lasseter,Unknown,2003,"November 12, 2019",G,4 min, Family,8.0
110,Knick Knack Theatrical Short,Movie,John Lasseter,Unknown,2003,"November 12, 2019",G,4 min, Kids,8.0
111,Petra: Secrets of the Ancient Builders,Movie,"Thierry Fessard, Yohann Thiriet",Bert Morris,2019,"November 13, 2020",TV-G,45 min,Documentary,8.0
112,Petra: Secrets of the Ancient Builders,Movie,"Thierry Fessard, Yohann Thiriet",Bert Morris,2019,"November 13, 2020",TV-G,45 min, Historical,8.0
113,The Mouseketeers at Walt Disney World,Movie,John Tracy,"Jo Worley, Ronnie Schell, Dennis Underwood, Leslie Norris, Billy Attmore, Scott Craig",1977,"July 17, 2020",TV-PG,56 min,Coming of Age,8.0
114,The Mouseketeers at Walt Disney World,Movie,John Tracy,"Jo Worley, Ronnie Schell, Dennis Underwood, Leslie Norris, Billy Attmore, Scott Craig",1977,"July 17, 2020",TV-PG,56 min, Drama,8.0
115,The Mouseketeers at Walt Disney World,Movie,John Tracy,"Jo Worley, Ronnie Schell, Dennis Underwood, Leslie Norris, Billy Attmore, Scott Craig",1977,"July 17, 2020",TV-PG,56 min, Family,8.0
116,Kitbull,Movie,Rosana Sullivan,Unknown,2019,"November 12, 2019",PG,9 min,Animation,8.0
117,Kitbull,Movie,Rosana Sullivan,Unknown,2019,"November 12, 2019",PG,9 min, Buddy,8.0
118,Kitbull,Movie,Rosana Sullivan,Unknown,2019,"November 12, 2019",PG,9 min, Comedy,8.0
119,Frozen 2,Movie,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling Brown, Evan Wood",2019,"March 14, 2020",PG,107 min,Action-Adventure,8.0
120,Frozen 2,Movie,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling Brown, Evan Wood",2019,"March 14, 2020",PG,107 min, Animation,8.0
121,Frozen 2,Movie,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling Brown, Evan Wood",2019,"March 14, 2020",PG,107 min, Family,8.0
122,Black Beauty,Movie,Ashley Avis,"Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon",2020,"November 27, 2020",TV-PG,111 min,Animals & Nature,8.0
123,Black Beauty,Movie,Ashley Avis,"Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon",2020,"November 27, 2020",TV-PG,111 min, Coming of Age,8.0
124,Black Beauty,Movie,Ashley Avis,"Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon",2020,"November 27, 2020",TV-PG,111 min, Drama,8.0
125,Disney My Music Story: Perfume,Movie,Kentaro Takayanagi,"a-chan , KASHIYUKA , NOCCHi",2019,"March 19, 2021",Unknown,53 min,Biographical,8.0
126,Disney My Music Story: Perfume,Movie,Kentaro Takayanagi,"a-chan , KASHIYUKA , NOCCHi",2019,"March 19, 2021",Unknown,53 min, Documentary,8.0
127,Disney My Music Story: Perfume,Movie,Kentaro Takayanagi,"a-chan , KASHIYUKA , NOCCHi",2019,"March 19, 2021",Unknown,53 min, Music,8.0
128,Shark vs. Whale,Movie,Unknown,Ted Stewart,2020,"July 23, 2021",TV-PG,44 min,Animals & Nature,8.0
129,Shark vs. Whale,Movie,Unknown,Ted Stewart,2020,"July 23, 2021",TV-PG,44 min, Documentary,8.0
130,Planet of the Birds,Movie,Unknown,Rodd Houston,2018,"November 12, 2019",TV-PG,45 min,Animals & Nature,8.0
131,Planet of the Birds,Movie,Unknown,Rodd Houston,2018,"November 12, 2019",TV-PG,45 min, Documentary,8.0
132,Planet of the Birds,Movie,Unknown,Rodd Houston,2018,"November 12, 2019",TV-PG,45 min, Family,8.0
133,Bob Ballard: An Explorer's Life,Movie,Unknown,Unknown,2021,"October 29, 2021",TV-PG,44 min,Biographical,8.0
134,Bob Ballard: An Explorer's Life,Movie,Unknown,Unknown,2021,"October 29, 2021",TV-PG,44 min, Documentary,8.0
135,Born Wild: The Next Generation,Movie,Liliana Olszewski,Robin Roberts,2020,"April 28, 2020",TV-PG,44 min,Animals & Nature,8.0
136,Born Wild: The Next Generation,Movie,Liliana Olszewski,Robin Roberts,2020,"April 28, 2020",TV-PG,44 min, Documentary,8.0
137,Being the Queen,Movie,Tom Jennings,Unknown,2020,"April 23, 2021",TV-14,44 min,Biographical,8.0
138,Being the Queen,Movie,Tom Jennings,Unknown,2020,"April 23, 2021",TV-14,44 min, Documentary,8.0
139,Man vs. Shark,Movie,Unknown,"Jeremiah Sullivan, Dave Hoffman",2019,"December 4, 2020",TV-PG,45 min,Animals & Nature,8.0
140,Man vs. Shark,Movie,Unknown,"Jeremiah Sullivan, Dave Hoffman",2019,"December 4, 2020",TV-PG,45 min, Documentary,8.0
141,The Story of the Animated Drawing,Movie,"Wilfred Jackson, William Beaudine",Unknown,1955,"June 12, 2020",TV-PG,49 min,Documentary,8.0
142,The Story of the Animated Drawing,Movie,"Wilfred Jackson, William Beaudine",Unknown,1955,"June 12, 2020",TV-PG,49 min, Family,8.0
143,Paperman,Movie,John Kahrs,"John Kahrs, Kari Wahlgren",2012,"November 12, 2021",G,7 min,Animation,7.998
144,Paperman,Movie,John Kahrs,"John Kahrs, Kari Wahlgren",2012,"November 12, 2021",G,7 min, Comedy,7.998
145,Paperman,Movie,John Kahrs,"John Kahrs, Kari Wahlgren",2012,"November 12, 2021",G,7 min, Family,7.998
146,Toy Story,Movie,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger",1995,"November 12, 2019",G,83 min,Action-Adventure,7.97
147,Toy Story,Movie,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger",1995,"November 12, 2019",G,83 min, Animation,7.97
148,Toy Story,Movie,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger",1995,"November 12, 2019",G,83 min, Buddy,7.97
149,Up,Movie,Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft",2009,"November 12, 2019",PG,96 min,Action-Adventure,7.951
150,Up,Movie,Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft",2009,"November 12, 2019",PG,96 min, Animation,7.951
151,Up,Movie,Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft",2009,"November 12, 2019",PG,96 min, Buddy,7.951
