,Type,Title,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
973,Movie,Mane Number 13,Vivy Kathiresan,"Ramana, Sanjeiv, Praveen prem, Varsha Bollamma, Aiswarya Gowda, Chetan Gandharva",2020,16+,106 min,Horror,10.0
798,Movie,Octopus Volcano,Peter Venn,Unknown,2007,ALL,50 min,Documentary,10.0
6263,Movie,Banshiwala,Anjan Das,"Paoli Dam, Shayan Munshi, Soumitra Chatterjee, Indrani Haldar",2010,13+,101 min,Drama,10.0
3192,Movie,Hillbilly's In A Haunted House,Jean Yarbrough,Unknown,2021,13+,86 min,Horror,10.0
3640,Movie,Kittie: Live at the London Music Hall,Rob McCallum,"Morgan Lander, Mercedes Lander, Tara McLeod, Ivy Vujic, Jeff Phillips, Fallon Bowman, Jennifer Arroyo, Tanya Candle",2020,18+,81 min,"Documentary, Special Interest",10.0
3191,Movie,Jiang Ziya,Teng Cheng,"Christopher Sabat, Luci Christian",2020,7+,109 min,"Animation, Anime, Kids",10.0
1745,Movie,Bheemasena Nalamaharaja,Karthik Saragur,"Aravinnd Iyer, Achutha Kumar, Aarohi Narayan, Priyanka Thimmesh",2020,13+,141 min,Drama,10.0
3174,Movie,Love You Right,Christina Faith,"Mark J.P. Hood, Milaya S. Gregory, Maysa Naima, Don Cephas",2021,18+,110 min,"Arts, Entertainment, and Culture, Drama",10.0
807,Movie,Nursery Rhymes by KiiYii (Made by Little Baby Bum!),Unknown,"Kii, Yii",2018,ALL,67 min,"Animation, Kids",10.0
5851,Movie,Sweet Revenge,David Morrissey,"Paul McGann, Sophie Okonedo, Steven Mackintosh, Pam Ferris, Susan Lynch, Sarah Smart",2001,16+,104 min,Drama,10.0
808,Movie,Nursery Rhymes - Mother Goose Club: Learn to Rhyme!,John Hussey,"Aidan Call, Cayden Campbell, Dyson Campbell",2013,ALL,33 min,Kids,10.0
4736,Movie,Cartoon Classics - Vol. 1: 25 Favorite Cartoons - 3 Hours,"Max Fleischer, Tex Avery","Bugs Bunny, Daffy Duck, Porky Pig, Little Lulu, Popeye the Sailor Man, Betty Boop, Woody Woodpecker, Casper the Friendly Ghost, Mighty Mouse, Superman, Heckle and Jeckle, Bosko",2017,13+,175 min,"Animation, Special Interest",10.0
6104,Movie,The Sneak Over,Brandon Bergin,"Reed Taylor, Will Hyde, Max Purget, Michael Hodges, Katie Burgess, Connie Franklin, Cassie Self, Brian Shoop",2021,7+,84 min,"Action, Comedy, Kids",10.0
4637,Movie,The Rainbow (1989),Ken Russell,"Sammi Davis, Amanda Donohoe, David Hemmings, Glenda Jackson",1989,R,111 min,"Action, Adventure, Drama",10.0
1910,Movie,Ablaze,Jim Wynorski,"John Bradley, Tom Arnold, Ice-T",2002,R,97 min,"Action, Drama, Suspense",10.0
4515,Movie,Laundry Day,Randy Mack,"Dave Davis, Kerry Cahill, Billy Slaughter, Samantha Ann",2018,18+,89 min,"Arthouse, Comedy, Drama",10.0
1366,Movie,French Biriyani,Pannaga Bharana,"Danish Sait, Disha Madan, Rangayana Raghu, Nagabhushana, Sindhu Murty, Mahantesh Hiremath, Sampath Kumar, Mohammed Ashraf, Kirthana Kumar, Michael Madhu, Pitobash, Nagesh Jaikumar, Prashanth, RJ Vikish, Chikkanna",2020,16+,117 min,"Action, Comedy",10.0
1972,Movie,99 F,Jan Kounen,"Jean Dujardin, Jocelyn Quivrin, Patrick Mille, Vahina Giocante, Elisa Tovati",2007,18+,104 min,"Comedy, Drama",10.0
5990,Movie,RiffTrax: Jack the Giant Killer,Nathan Juran,"Michael J. Nelson, Kevin Murphy, Bill Corbett, Anna Lee, Torin Thatcher, Walter Burke, Judi Meredith, Kerwin Mathews, Mystery Science Theater 3000 Guys",2014,13+,114 min,"Comedy, Fantasy",10.0
4734,Movie,Lucy's Really Lost Moments,Desi Arnaz,"Desi Arnaz, Lucille Ball",1956,7+,69 min,Comedy,10.0
4462,Movie,At the Fork,John Papola,"John Papola, Lisa Versaci, Kim Sturla, Jayson Lusk, Temple Grandin, Malcolm DeKryger",2016,16+,95 min,"Documentary, Special Interest",10.0
5920,Movie,Antony Firingee,Sunil Bandyopadhyay,"Uttam Kumar, Tanuja, Asit Baran, Haridhan Mukherjee, Haradhan Bandopadhyay, Chhaya Devi, Ruma Guha Thakurta, Bhanu Bandopadhyay, Jahor Roy, Shyam Laha, Nripati Chatterjee, Tarun Kumar",1967,13+,147 min,Romance,10.0
5900,Movie,Bond - In Isolation,Sonia Kohli,"Mohinder Kohli, Upinder Singh",2021,7+,42 min,Horror,10.0
809,Movie,Nursery Rhymes - Mother Goose Club Playhouse presents Rhyme With Us!,Sona Jho,Mother Goose Club,2015,ALL,41 min,"Kids, Music Videos and Concerts",10.0
4815,Movie,Nurses Do It Better,Stephan Pacheco,"Tatiana Sokolova, Despina Mirou, Skiip Pipo, Tracy Stresh Mcnulty",2018,16+,59 min,"Comedy, Drama",10.0
3590,Movie,Road Less Traveled,Blair Hayes,"Lauren Alaina, Donny Boaz, Jason Burkey, Charlene Tilton",2017,7+,86 min,"Comedy, Drama",10.0
3591,Movie,Prisoner Number A26188: Surviving Auschwitz,Lisa Bryer,Unknown,2013,13+,44 min,"Documentary, Special Interest",10.0
5877,Movie,Milgram and the Fastwalkers,Richard Cutting,"Richard Cutting, Johnny Alonso, Colleen Zenk, Tuck Milligan, Patricia Mizen",2018,16+,109 min,"Drama, Horror, Science Fiction",10.0
3592,Movie,Once Upon A Time In Philly,SIXX KING,"Rell Angelo, Sonni Blak, AL Black, Tyreek Cade, Ruben Rivera, Robin lee Wright, Tameeka Ryant, Alease Braxton, Christina Cartier, Zahnay Blakey, Foma Fowler, Dave Gilbert, Eric Stafford, Ja""Vese Washington, Christina Ramos, Wayne Thomas, Dominic King, Laura Cummings, Johnathan Davis, Mark Salidino, Billy Kontostergios, Conor Begly, China White, Isaiah Pearson, Kelvin Buds",2019,18+,94 min,"Action, Drama",10.0
5874,Movie,Mothertime,Matthew Jacobs,"Kate Maberly, Gina McKee, Anthony Andrews, Imogen Stubbs",1997,18+,87 min,"Comedy, Drama",10.0
1786,Movie,"Barry Brewer: Chicago, I'm Home",Barry Brewer,Barry Brewer,2019,13+,78 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",10.0
811,Movie,Nursery Rhyme Cartoons from Mother Goose Club,Sona Jho,Mother Goose Club,2016,ALL,103 min,Kids,10.0
3236,Movie,Restricted Area (Baron Palace),mohamed fikry,"mohamed fikry, yasmine omar, sarah nakhlah, adel abdel razek, tarek obead",2016,16+,85 min,"Horror, Suspense",10.0
810,Movie,Nursery Rhymes - Jump Up and Rhyme With Mother Goose Club,John Hussey,Mother Goose Club,2015,ALL,39 min,"Kids, Music Videos and Concerts",10.0
5826,Movie,Bad Hombres,Andrew Glazer,Unknown,2020,16+,102 min,"Documentary, Special Interest, Sports",10.0
5821,Movie,Just Another Dream,Paul Schneider,"Kristy Swanson, Dean Cain, Eugene Brave Rock, Kayden Bryce",2021,7+,92 min,"Drama, Suspense",10.0
3641,Movie,Jurassic Dinosaur playtime! T-Rex Ranch,Aaron Michael,"LB, Aaron Michael",2019,ALL,12 min,Kids,10.0
3761,Movie,Rolling Stones - No Security San Jose 1999,Unknown,The Rolling Stones,2018,13+,118 min,Music Videos and Concerts,10.0
4103,Movie,Return To Treasure Island,E.A. Dupont,Unknown,1954,7+,75 min,Action,10.0
5584,Movie,Mr Harvey Lights a Candle,Susanna White,"Timothy Spall, Celia Imrie, Ben Miles, David Bradley, Natalie Press",2005,16+,84 min,Drama,10.0
717,Movie,Problems,Neville Shah,Azeem Banatwalla,2018,13+,68 min,"Arts, Entertainment, and Culture",10.0
2649,Movie,Keiko The Untold Story of the Star of Free Willy,Theresa Demarest,"Keiko the orca, Naomi Rose, Mark Berman, Thorbjorg Tobba Kristjansdottir, Colin Baird, Paul Spong",2015,7+,75 min,Documentary,10.0
705,Movie,Rallying - The Killer Years,"John Matthews, Richard Heap",Unknown,2012,Unknown,52 min,Documentary,10.0
638,Movie,Sawan Ko Aane Do,Kanak Mishra,"Arun Govil, Zarina Wahab, Amrish Puri, Rita Bhaduri, Yunus Parvez, Leela Mishra",1979,ALL,153 min,"Drama, Romance",10.0
4088,Movie,Eggy,Sergio Manfio,"Gerolamo Alchieri, Nanni Baldini, Christopher R. Burns, Michael Colasurdo, Richard M. Davidson",2015,ALL,82 min,"Action, Animation, Kids",10.0
2642,Movie,Philip Roth: Unmasked,William Karel,Philip Roth,2013,Unknown,84 min,Documentary,10.0
1542,Movie,Darbar (Malayalam),A.R. Murugadoss,"Rajinikanth, Nayanthara, Sunil Shetty",2020,13+,158 min,"Action, Drama, International",10.0
648,Movie,Sakka Podu Podu Raja,Sethuraman,"Santhanam, Vaibhavi Shandilya, Vivek, VTV Ganesh, Sampath",2017,13+,124 min,"Comedy, Drama, International",10.0
5545,Movie,The Omen (4K UHD),John Moore,"Julia Stiles, Liev Schreiber, Mia Farrow, David Thewlis, Pete Postlethwaite, Michael Gambon, Seamus Davey-Fitzpatrick",2006,R,110 min,"Horror, Suspense",10.0
1541,Movie,Darbar (Tamil),A.R. Murugadoss,"Rajinikanth, Nayanthara, Sunil Shetty",2020,13+,158 min,"Action, Drama, International",10.0
1540,Movie,Darbar (Telugu),A.R. Murugadoss,"Rajinikanth, Nayanthara, Sunil Shetty",2020,13+,158 min,"Action, Drama, International",10.0
1539,Movie,Dassehra,Manish Vatsalya,"Neil Nitin Mukesh, Tina Desai, Manish Vatsalya, Ashwini Kalsekar, Murli Sharma",2018,13+,107 min,"Action, Drama, International",10.0
5544,Movie,The Peacock Spring,Christopher Morahan,"Peter Egan, Naveen Andrews, Jennifer Hall, Hattie Morahan, Madhur Jaffrey",1996,16+,122 min,"Drama, Romance",10.0
2400,Movie,Urartu: The Forgotten Kingdom,Vaga Vardanyan,Dylan Waller,2020,13+,48 min,Documentary,10.0
3874,Movie,Blanc de Blanc,Lucas McNelly,"Rachel Shaw, Jason Kirsch, Daniel Stiker",2009,16+,79 min,Drama,10.0
3875,Movie,Bhairu Pailwan Ki Jai Ho,Pravin Raja Karale,"Siddarth Jadhav, Usha Nadkarni, Kamlesh Sawant, Ashish Pawar, Priyanka Yadam",2010,ALL,136 min,"Comedy, Drama",10.0
3876,Movie,Aurinko In Adagio: A Rising Voices Film,Elisee Junior St Preux,"Taj Johnson, Dexter Tillis, Erinn Jones, Myriah Reese",2021,13+,15 min,Drama,10.0
674,Movie,Rise of the Great White Shark,Andy Casagrande,Unknown,2017,ALL,49 min,"Documentary, Special Interest",10.0
5443,Movie,Iruvar Ullam,G Ramesh,"Vinay Rai, Payal Rajput",2021,13+,120 min,Romance,10.0
3642,Movie,Joyful Praise,Maurice Jones,"Chandra Smartt Spicer, Christopher A. Greer, Shanta Renee Smith, Arthur Richardson, Kaschmeire Rich, Tina Pittman, Jennifer Davis, Rahsaan Edwards, Maurice Eleby Jones Jr., CHARLES PALMER, Maria L. Parrish",2020,13+,52 min,"Comedy, Drama, Special Interest",10.0
2707,Movie,The Council,JayTee Thompson,"BRANDON MICHAEL THOMAS, JayTee Thompson, KENDON TILLIS, DARRYL GRIFFIN, MORGAN DAY, TOM ALPER, TYLER GORDON, BRIAN COGLEY, SYDNEY CARWILL, TOBY GUEBERT, FAREED PARKER, ROY BERRY, ARIEL BROWN, ED REGINE, TYE MILLS, H.CALI HUGHES, DaVonta blanson, SPIDER LOC, RAMONE BABEELOC DARWIN, QUEEN B.G., BYRON HASKINS, WREKLESS WATSON, DaMon Burgess, ELESTER LATHAM, MS. MICHELLE, INFANT JAY, DAVION EVANS, VICTORIA HOANG, TIM MISURADZE, DIANA CABAN VELEZ, AVA MIRI, ROBERT ARTZ, MYSTIC BLUEE, TIZHON TAPP, ISAIAH R. MUNOZ",2020,18+,114 min,"Action, Drama, Suspense",10.0
2289,Movie,Gina Brillon: Pacifically Speaking,Manny Rodriguez,"Gina Brillon, Gabriel Iglesias",2014,18+,53 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",10.0
2122,Movie,Chonda Pierce: Laughing in the Dark,Rick Altizer,"Chonda Pierce, David Pierce, Zachary Pierce",2016,ALL,84 min,Documentary,10.0
3156,Movie,Paquete #3,Alfredo Hueck,"Valentín Alemán, Leandro Arvelo, Daniela Bascopé, Beto Benites",2015,16+,100 min,"Comedy, Drama",10.0
6327,Movie,Deya Neya,Sunil Bandyopadhyay,"Uttam Kumar, Tanuja, Pahari Sanyal, Kamal Mitra, Tarun Kumar, Shyam Laha, Nripati Chatterjee, Chhaya Devi, Lily Chakravarty",1962,16+,122 min,Romance,10.0
3155,Movie,Prema Kiligal,Mohan Bammidi,"Satya Dev, Priya Lal, Rahul Ramakrishna, Priyadarshi",2020,13+,118 min,"Drama, Romance",10.0
3147,Movie,Blacksmith,"Frank DiCesare, Mahmoud Salimi",Rob Flurry,2017,ALL,16 min,Documentary,10.0
202,Movie,Thomas Sowell: Common Sense in a Senseless World,Kyle Clark,"Jason Riley, Larry Elder, Walter E. Williams, Steven Pinker, Dave Rubin, Eva Moskowitz, Adaecus Brooks, Benjamin Lacasse, Sam Peltzman, Allen R. Sanderson, Eric July, Victor Davis Hanson, Patrick M. Byrne, Aaron Hunsaker, Jennifer Van Laar, Ron Losby",2021,ALL,57 min,"Documentary, Talk Show and Variety",10.0
6364,Movie,Criminal Mind,Joseph Vittorie,"Frank Rossi, Tahnee Welch, Lance Henriksen",1993,R,92 min,Suspense,10.0
3100,Movie,Kuriyan Jawan Bapu Preshaan,Avtar Singh,"Karamjit Anmol, Ekta Gulati Khera, Love Gill, Pihu Sharma, Lucky Dhaliwal, Kaka Kautaki",2021,13+,106 min,"Comedy, Drama",10.0
4261,Movie,Night Kaleidoscope,Grant McPhee,Patrick O'Brien,2017,18+,83 min,Horror,10.0
5026,Movie,The Waste Land,WANG MENG,"WANG MENG, Jiao Zhonghui",2021,16+,130 min,Drama,10.0
5045,Movie,Lieutenant Jangles,Nic Champeaux,"Matt Dickie, Justin Gerardin, Jack McGirr",2021,18+,103 min,"Action, Comedy",10.0
6377,Movie,Head Count,Elle Callahan,"Isaac W. Jay, Ashleigh Morghan, Bevin Bru, Billy Meade, Hunter Peterson, Chelcie May, Tory Freeth, Michael Herman, Amaka Obiechie, Sam Marra, Cooper Rowe",2019,16+,90 min,"Horror, Suspense, Young Adult Audience",10.0
2123,Movie,Box Fan medium  8 Hours for Sleep,Mark Knight,Unknown,2019,ALL,540 min,Special Interest,10.0
3059,Movie,South Bureau Homicide,"Mark Earl Burman, Mike Cooley",Unknown,2017,13+,79 min,"Documentary, Drama",10.0
5734,Movie,The Diabolical Schemes of Thadeus Jackson,Brandon Crowson,"Sean Simmons, Madeline Fleming, Nathan Cade, Harold Crowson, Philly Modlin, Joseph Gainer, Andi Hanson",2018,16+,93 min,Action,10.0
5075,Movie,Kalathur Gramam,Saran K Advaithan,"Kishore, Yagna Shetty, Mithun kumar, Sulile Kumar",2017,13+,132 min,"Action, Drama",10.0
607,Movie,She's Not Our Sister,Vernon Snoop Robinson,"Kellita Smith, Christian Keyes, Drew Sidora",2011,13+,88 min,Drama,10.0
5156,Movie,Bad Boy Blues,Andy Wilson,"Clive Owen, Maynard Eziashi, Christopher Fulford",1996,18+,62 min,"Action, Drama, Suspense",10.0
3760,Movie,Rolling Stones - Sticky Fingers Live At The Fonda Theatre 2015,Paul Dugdale,The Rolling Stones,2017,13+,87 min,Music Videos and Concerts,10.0
5174,Movie,Memories of Reality,"Nolan Lawlor, John Christensen","Zane Zakroff, Zachary Fox, Ernie Colquette, Nolan Lawlor, Zola Feasel, John Christensen, William Fuentes",2021,16+,98 min,"Drama, Science Fiction, Suspense",10.0
4518,Movie,Flesh Is Heir To,D. Allan Johnson,"Richard Brundage, Brandon J. Shaw, Heather Michelle, Elisa Marti",2020,18+,80 min,"Horror, Suspense",10.0
581,Movie,Sketchy Behaviour,Neville Shah,"Kanan Gill, Kenneth Sebastian",2019,PG-13,64 min,"Arts, Entertainment, and Culture",9.7
5574,Movie,Paranormal Doorways,Pia Justine Cruz,"Margareta Moir, Morrison James, Michael Morley, Daniel Harpur, John Ward",2020,16+,91 min,Suspense,9.5
4498,Movie,Jatra,Kedar Shinde,"Bharat Jadhav, Siddarth Jadhav, Viju Khote, Sanjay Khapre, Priya Berde, Vijay Chavan, Upendra Limaye, Kranti Redkar, Amir Tadwalkar, Sunil Tawde, Kushal Badrike, Munir Baghman, Mohan Bagode, Vandan Bakmis, Shankar Bhake, Jaiwant Bhalekar, Dilip Budhkar, Kishore Chougule, Kamlakar Satputhe",2005,ALL,138 min,Comedy,9.5
3918,Movie,Insaaf Ki Awaaz,"D. Rama Naidu, B. Gopal","Anil Kapoor, Rekha, Anupam Kher, Kader Khan, Gulshan Grover, Raj Babbar, Richa Sharma, Aruna Irani, Nilu Phule, Sushma Seth, Asrani, Pallavi Joshi, Jagdeep, Roopesh Kumar, Shafi Inamdar, Tej Sapru, Mohan Choti, Ghanshyam Rohera, Parikshat Sahni",1986,13+,154 min,"Action, Drama",9.5
1783,Movie,Bastille - ReOrchestrated,"Tom Middleton, Toby L",Bastille,2021,16+,71 min,"Documentary, Music Videos and Concerts",9.5
5621,Movie,Casino.sk,Ján Sabol,"Tereza Brodská, Lukás Dóza, Marek Geisberg",2019,18+,105 min,Drama,9.5
342,Movie,The Jupiter Enigma,Thomas Lucas,Unknown,2018,ALL,45 min,Documentary,9.4
2700,Movie,Calls,J. Sabarish,"V. J. Chitra, Vinodhini",2021,13+,144 min,Suspense,9.3
2487,Movie,Alan Jackson - Small Town Southern Man,John Albarian,Alan Jackson,2019,13+,90 min,"Documentary, Music Videos and Concerts",9.125
161,Movie,Tour Balas Perdidas en Madrid,Carlos Sánchez,Unknown,2021,G,116 min,Music Videos and Concerts,9.074
2529,Movie,In Remembrance of Martin,Kell Kearns,Unknown,1986,Unknown,57 min,Documentary,9.0
2593,Movie,The Lou Gehrig Story,John Hunter,Ed Smith,2007,G,59 min,Drama,9.0
89,Movie,Walter Williams: Suffer No Fools,Tony Machi,"Walter Williams, Thomas Sowell, Charles Murray, Shelby Steele, Larry Elder, Douglas H. Ginsburg, Jack Hirshleifer, Manny Klausner, Thomas C. Rustici, Willette Klausner, Steve Javie",2014,13+,55 min,Special Interest,9.0
84,Movie,Wash Your Hands & More Classic Kids Songs - KiiYii,Moonbug Entertainment,Unknown,2020,ALL,30 min,Kids,9.0
4871,Movie,"RiffTrax: ""MANOS"" The Hands of Fate",Michael J. Nelson,"Michael J. Nelson, Kevin Murphy, Bill Corbett, Tom Neyman, John Reynolds, Diane Adelson, Harold Warren, Jackey Neyman Jones, Mystery Science Theater 3000 Guys",2013,13+,71 min,"Comedy, Horror",9.0
1774,Movie,Beatrix Farrand's American Landscapes,Stephen Ives,Lynden B. Miller,2019,Unknown,62 min,"Documentary, Special Interest",9.0
6237,Movie,Corey Rodrigues: People Whisperer,Isaac Halasima,Corey Rodrigues,2018,7+,45 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",9.0
3651,Movie,A Million Hits,Janet Harvey,"Tess Cline, Monica Perez, Kate St. Clair, Alyona Real, David Roland Strong, Fran Williams",2021,16+,71 min,"Action, Drama",9.0
579,Movie,Skin Deep: The Battle Over Morgellons,Pi Ware,"Cindy Casey, Steven R Feldman, Harry Quinn Schone",2020,16+,90 min,Documentary,9.0
4267,Movie,Moon Point,Sean Cisterna,"Nick McKinlay, Paula Brancati, Art Hindle",2011,13+,83 min,Comedy,9.0
3076,Movie,Extreme Raheem,Tamara Rothschild,"Farid Jamal Khan, Tiamarie Carvey, Jake Berry, Masie Dee, Satine Spark",2021,18+,100 min,"Action, Drama, Suspense",9.0
5062,Movie,Brazen Hussies,Elijah Moshinsky,"Julie Walters, Robert Lindsay, Alun Armstrong, Chrissy Rock",1996,18+,85 min,"Comedy, Drama",9.0
5750,Movie,RiffTrax Presents: Devil Girl from Mars,Michael J. Nelson,"Bridget Nelson, Mary Jo Pehl, Hugh  McDermott, Hazel Court, Peter Reynolds, Adrienne Corri, John Laurie, Mystery Science Theater 3000 Guys",2018,13+,77 min,"Comedy, Science Fiction",9.0
5749,Movie,Royal Enchantimals: A Royal Rescue,Thom McKenna,Unknown,2021,ALL,26 min,"Animation, Kids",9.0
6159,Movie,Pitruroon,Nitish Bhardwaj,"Sachin Khedekar, Tanuja, Suhas Joshi, Poorvi Bhave, Omkar Kulkarni",2013,ALL,105 min,Drama,9.0
5718,Movie,The Kingsbury Run,James Neyman,"Deanna Sherman, Terry Kiser, Bruno Tatalovic, Mary Faktor, Andrew Gorell",2018,16+,125 min,"Horror, Suspense",9.0
2233,Movie,"Nas, Live from the Kennedy Center with the National Symphony Orchestra",Jason Goldwatch,Nas,2018,16+,52 min,"Arts, Entertainment, and Culture, Documentary",9.0
5619,Movie,Chris Gethard: Half My Life,Kate Sweeney,"Chris Gethard, Carmen Christopher",2021,18+,54 min,"Arts, Entertainment, and Culture, Comedy",9.0
2709,Movie,Rambo: Last Blood (4K UHD),Adrian Grunberg,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adrianna Barraza, Yvette Monreal, Oscar Jaenada",2019,R,89 min,"Action, Adventure",9.0
2708,Movie,Tennessee Whiskey: The Dean Dillon Story,Cole Claassen,"Toby Keith, Kenny Chesney, George Strait, Pam Tillis, Kix Brooks, Dean Dillon",2017,13+,82 min,Documentary,9.0
6462,Movie,The Lumineers: III,Kevin Phillips,"Anna Cordell, Charlie Tahan, Nick Stahl",2019,13+,44 min,"Documentary, Music Videos and Concerts",9.0
2670,Movie,White Wolves: Ghosts of the Arctic,Oliver Goetzl,Unknown,2018,ALL,54 min,"Documentary, Special Interest",9.0
5386,Movie,Yellow Brick Road,"Jesse Holland, Andy Mitton","Michael Laurino, Anessa Ramsey, Alex Draper, Cassidy Freeman, Clark Freeman, Tara Giordano, Sam Elmore, Laura Heisler, Lee Wilkof, Joseph Collier",2010,18+,100 min,Horror,9.0
5387,Movie,Welcome to zama,Hakan Sahin,"Luke Oswald, Oscar Derkx, Warren Cowell, Kyle McNalley, Jean Dadswell, Andrea Rankin, Merran Carr-Wiggin, Shane Smith, Evan Hall, Contessa Young, Joshua Dean Abraham, Marcel Scherger",2020,13+,76 min,"Arthouse, Drama",9.0
5567,Movie,Scarecrow County,John Oak Dalton,"Iabou Windimere, Jeff Kirkendall, Erin R. Ryan, Marie DeLorenzo, Joni Durian",2019,16+,75 min,Horror,9.0
3044,Movie,Journey to Royal: A WWII Rescue Mission,Christopher Johnson,"Christopher Johnson, Mariana Tosca, Earl Holliman, Janis Paige, Marsha Hunt",2021,13+,90 min,"Action, Documentary, Drama",9.0
3656,Movie,Stree,Amar Kaushik,"Raj Kummar Rao, Pankaj Tripati, Shraddha Kapoor",2018,13+,129 min,"Comedy, Horror, Romance",9.0
6082,Movie,Halloween Heroes,Bobby Lacer,"Bobby Lacer, James Dickey, Eileen Lacer, Brayden Lacer",2021,7+,77 min,"Comedy, Kids",9.0
4519,Movie,Dogged,Richard Rowntree,"Sam Saunders, Nadia Lamin, Philip Ridout",2017,18+,116 min,Horror,9.0
3799,Movie,Road to Damascus,Anthony G. Perkins,"Frank Red, Becky Killerson, Denzel Moore, Christopher Michael Carney, Ali Daniels, Carl Swanson, Jordan Curtis, Janan Terpstra, Tiffany Cornwell, Greg Creft, Brian Gibson, Rex Isom Jr., Rudy Pavich, Keilani Lee, Christian Reinhart, Holly Peterson, Susan Chambers, Joseph Singer",2021,18+,99 min,"Drama, Suspense",8.9
2596,Movie,The Fatal Game,Richard Dennison,Mark Whetu,1998,13+,51 min,"Action, Drama, International",8.8
3439,Movie,Thaen,Ganesh Vinayakan,"Tharun, Abarnathi",2021,13+,99 min,Drama,8.8
5952,Movie,RiffTrax Live: House on Haunted Hill,Michael J. Nelson,"Michael J. Nelson, Kevin Murphy, Bill Corbett, Paul F. Tompkins, Vincent Price, Carol Ohmart, Richard Long, Elisha Cook Jr., Alan Marshal, Mystery Science Theater 3000 Guys",2011,13+,116 min,"Comedy, Horror",8.8
2212,Movie,Revenge in Kind,Roger Lindley,"Chad Halbrook, Sasha Higgins, Chester Gayao, Abel Becerra",2020,16+,89 min,"Drama, Suspense",8.8
